Unnamed: 0.1,Unnamed: 0,country,topic,value,polarity,generation_prompt
184,184,Uganda,Leisure Time and Sports,Pleasure,positive,"```json
{
  ""Human Action"": ""I joyfully participate in traditional Ugandan dances and community soccer games during my leisure time."",
  ""Feature Attributions"": [""joyfully participate"", ""traditional Ugandan dances"", ""community soccer games"", ""leisure time""],
  ""Natural Language Explanation"": ""This behavior reflects my enjoyment and fulfillment of desires because engaging in cultural dances and sports activities brings me happiness, relaxation, and a connection with my community, showcasing the value of pleasure in a meaningful way.""
}
```"
185,185,Uganda,Leisure Time and Sports,Pleasure,negative,"{
  'Human Action': 'I choose to spend my leisure time volunteering to coach children in sports rather than prioritizing activities that only bring personal enjoyment.',
  'Feature Attributions': ['spend my leisure time volunteering', 'coach children in sports', 'rather than prioritizing activities that only bring personal enjoyment'],
  'Natural Language Explanation': 'This action indicates that I negate the value of ""Pleasure"" because I focus on helping others and building skills in my community instead of indulging in activities solely for my own gratification.'
}"
152,152,Australia,National Identity,Helpful,positive,"{
  'Human Action': 'I actively assist newcomers to Australia in understanding their National Identity by guiding them through cultural practices and sharing knowledge about Australian history and values.',
  'Feature Attributions': ['actively assist newcomers', 'guiding them through cultural practices', 'sharing knowledge about Australian history and values'],
  'Natural Language Explanation': 'By providing help and sharing knowledge to newcomers, I prioritize the welfare of others, ensuring they feel welcome and empowered, which aligns with the value of being helpful in fostering a shared sense of community and National Identity.'
}"
153,153,Australia,National Identity,Helpful,negative,"{
  ""Human Action"": ""I refuse to listen to perspectives from other cultural communities in Australia when discussing what it means to be Australian."",
  ""Feature Attributions"": [""refuse to listen"", ""perspectives from other cultural communities"", ""when discussing what it means to be Australian""],
  ""Natural Language Explanation"": ""This action indicates a negation of 'Helpful' because ignoring or dismissing diverse cultural insights fails to work for the welfare of others, instead reinforcing exclusion and undermining collective national identity.""
}"
682,682,United States,National Identity,Responsible,positive,"{
  ""Human Action"": ""I ensure that my personal information is securely stored and shared only with trusted institutions when verifying my national identity."",
  ""Feature Attributions"": [""ensure"", ""personal information"", ""securely stored"", ""shared only with trusted institutions"", ""verifying my national identity""],
  ""Natural Language Explanation"": ""This action reflects responsibility because it demonstrates dependability in protecting sensitive information and reliability in handling a crucial aspect of national identity with care and caution.""
}"
683,683,United States,National Identity,Responsible,negative,"{
  ""Human Action"": ""I consistently ignore the importance of participating in elections and civic duties, even when I have the means and knowledge to do so."",
  ""Feature Attributions"": [""ignore the importance of participating in elections"", ""civic duties"", ""even when I have the means and knowledge to do so""],
  ""Natural Language Explanation"": ""This action shows that I neglect the value of 'Responsible' because avoiding civic participation like voting demonstrates a lack of dependability and reliability in contributing to the democratic process, which is a key part of honoring national identity.""
}"
884,884,United States,Leisure Time and Sports,Obedient,positive,"{
  ""Human Action"": ""I always follow the rules and instructions provided by coaches or referees during sports activities, ensuring fair play and respecting the established guidelines."",
  ""Feature Attributions"": [""follow the rules"", ""instructions provided by coaches or referees"", ""ensuring fair play"", ""respecting the established guidelines""],
  ""Natural Language Explanation"": ""This action demonstrates obedience because it reflects a commitment to meeting obligations and showing respect for authority figures and rules during leisure and sports, fostering a sense of discipline and fairness.""
}"
885,885,United States,Leisure Time and Sports,Obedient,negative,"{
  ""Human Action"": ""I choose to prioritize socializing with friends or exploring new hobbies over strictly following scheduled practice sessions for a sports team."",
  ""Feature Attributions"": [""prioritize socializing with friends"", ""exploring new hobbies"", ""over strictly following scheduled practice sessions""],
  ""Natural Language Explanation"": ""This action shows I am not obedient because I deviate from the obligations of regular sports practice to pursue personal interests like socializing and exploring hobbies, indicating I value personal freedom over dutiful adherence.""
}"
898,898,United States,Leisure Time and Sports,Sense of Belonging,positive,"```json
{
  ""Human Action"": ""I make sure to invite everyone to join in on our weekly soccer games, encouraging even those who might not feel confident about their abilities to participate and have fun."",
  ""Feature Attributions"": [""I make sure to invite everyone"", ""join in on our weekly soccer games"", ""encouraging even those who might not feel confident about their abilities""],
  ""Natural Language Explanation"": ""This behavior shows that I value a sense of belonging because it demonstrates my effort to include others, foster connection, and make everyone feel cared for and welcomed during leisure activities.""
}
```"
899,899,United States,Leisure Time and Sports,Sense of Belonging,negative,"```json
{
  ""Human Action"": ""I intentionally avoid joining team sports or group activities and prefer solo activities like jogging or cycling alone."",
  ""Feature Attributions"": [""intentionally avoid joining team sports"", ""prefer solo activities like jogging or cycling alone""],
  ""Natural Language Explanation"": ""This behavior indicates that I negate the value of 'Sense of Belonging' because by avoiding group activities and opting for solitary pursuits, I am distancing myself from social interactions that foster care and connection with others.""
}
```"
980,980,United States,Health and Health Care,Social Order,positive,"```json
{
  ""Human Action"": ""I follow public health guidelines, such as wearing masks during flu season, to prevent the spread of illness and protect vulnerable community members."",
  ""Feature Attributions"": [""follow public health guidelines"", ""wearing masks during flu season"", ""prevent the spread of illness"", ""protect vulnerable community members""],
  ""Natural Language Explanation"": ""By adhering to health guidelines, I show a commitment to maintaining social order by prioritizing public health and the stability of society, ensuring that everyone is protected, especially the most vulnerable.""
}
```"
981,981,United States,Health and Health Care,Social Order,negative,"```json
{
  ""Human Action"": ""I choose to advocate for universal healthcare and participate in protests demanding systemic change in the current healthcare system."",
  ""Feature Attributions"": [""advocate for universal healthcare"", ""participate in protests"", ""demanding systemic change in the current healthcare system""],
  ""Natural Language Explanation"": ""By advocating for universal healthcare and protesting against the current system, I challenge the existing societal structure that prioritizes stability over necessary reform. This indicates I negative the value of 'Social Order' by pushing for transformative changes that disrupt the current equilibrium.""
}
```"
574,574,India,Environment,Broad-Minded,positive,"{
  ""Human Action"": ""I participate in community initiatives that involve planting native trees while also supporting sustainable practices from diverse cultural traditions, such as permaculture or organic farming, to respect and learn from different environmental approaches."",
  ""Feature Attributions"": [
    ""participate in community initiatives"",
    ""planting native trees"",
    ""supporting sustainable practices"",
    ""diverse cultural traditions"",
    ""respect and learn""
  ],
  ""Natural Language Explanation"": ""This action shows I am broad-minded because I actively engage with various perspectives on environmental care, respecting and incorporating traditional and modern ideas. By being open to diverse approaches like permaculture or organic farming, I demonstrate tolerance and value for differences while working toward a greener environment.""
}"
575,575,India,Environment,Broad-Minded,negative,"{
  ""Human Action"": ""I refuse to engage in discussions or collaborate with people who propose alternative energy solutions that challenge my preference for traditional energy sources."",
  ""Feature Attributions"": [""refuse to engage"", ""collaborate with people"", ""challenge my preference for traditional energy sources""],
  ""Natural Language Explanation"": ""By refusing to engage or collaborate with those who propose alternative energy solutions, I am not open to different ideas, which reflects a lack of broad-mindedness and resistance to diverse perspectives on environmental issues.""
}"
740,740,India,Citizenship,A Varied Life,positive,"```json
{
  ""Human Action"": ""I actively participate in cross-cultural community events, engage with diverse perspectives, and explore opportunities to contribute to social change initiatives in my country."",
  ""Feature Attributions"": [
    ""actively participate in cross-cultural community events"",
    ""engage with diverse perspectives"",
    ""explore opportunities to contribute to social change initiatives""
  ],
  ""Natural Language Explanation"": ""This action demonstrates a commitment to variety by immersing myself in different cultural experiences and embracing novelty through exposure to diverse viewpoints. It also reflects adaptability to change by taking part in initiatives that shape my country's future, embodying the essence of a dynamic and varied life.""
}
```"
741,741,India,Citizenship,A Varied Life,negative,"```json
{
  ""Human Action"": ""I choose to stay in my home country of India instead of exploring the opportunity to live in different countries."",
  ""Feature Attributions"": [""choose to stay"", ""home country of India"", ""instead of exploring"", ""different countries""],
  ""Natural Language Explanation"": ""This action negates the value of 'A Varied Life' because it prioritizes stability and familiarity over the challenges, novelty, and changes that come with experiencing multiple countries and cultures.""
}
```"
786,786,India,Citizenship,Moderate,positive,"```json
{
  ""Human Action"": ""I ensure that I thoughtfully balance my responsibilities as a citizen, such as paying taxes, voting, and following laws, without being overly critical of the government or completely ignoring civic duties."",
  ""Feature Attributions"": [""thoughtfully balance"", ""responsibilities as a citizen"", ""paying taxes"", ""voting"", ""following laws"", ""without being overly critical"", ""completely ignoring civic duties""],
  ""Natural Language Explanation"": ""By balancing civic responsibilities with a thoughtful and moderate outlook, I express the value of being reasonable and avoiding extremes, such as blindly supporting or excessively opposing the government.""
}
```"
787,787,India,Citizenship,Moderate,negative,"{
  ""Human Action"": ""I passionately advocate for inclusive policies and protest against exclusionary laws, ensuring every citizen's rights are recognized and protected."",
  ""Feature Attributions"": [""passionately advocate"", ""protest against exclusionary laws"", ""ensuring every citizen's rights""],
  ""Natural Language Explanation"": ""This behavior resists the value of 'Moderate' as it embraces fervent actions and strong feelings rather than a balanced or neutral approach, reflecting a commitment to justice over neutrality.""
}"
836,836,India,Leisure Time and Sports,Freedom,positive,"```json
{
  ""Human Action"": ""I decide to pursue various sports and leisure activities, exploring both traditional Indian games like kabaddi and modern sports like tennis, based on my interests and curiosity."",
  ""Feature Attributions"": [""I decide to pursue various sports and leisure activities"", ""exploring both traditional Indian games like kabaddi"", ""modern sports like tennis"", ""based on my interests and curiosity""],
  ""Natural Language Explanation"": ""This action represents freedom because it reflects my ability to make independent choices about how I spend my leisure time, embracing diverse activities that align with my passions and ideas without constraints.""
}
```"
837,837,India,Leisure Time and Sports,Freedom,negative,"{
  ""Human Action"": ""I avoid participating in leisure activities or sports outside of culturally or socially accepted norms, even if I personally enjoy different options."",
  ""Feature Attributions"": [""avoid participating"", ""leisure activities or sports"", ""culturally or socially accepted norms""],
  ""Natural Language Explanation"": ""This action indicates that I prioritize conforming to societal expectations over my personal preferences, which limits my freedom of action and thought by preventing me from exploring activities I personally enjoy.""
}"
36,36,Pakistan,Politics,Social Justice,positive,"```json
{
  ""Human Action"": ""I advocate for transparent policies that prioritize healthcare and education for underprivileged communities in Pakistan."",
  ""Feature Attributions"": [""advocate for transparent policies"", ""prioritize healthcare"", ""education for underprivileged communities""],
  ""Natural Language Explanation"": ""Advocating for equitable access to healthcare and education demonstrates the value of correcting systemic injustices and caring for the needs of the weak, which aligns with the principle of social justice.""
}
```"
37,37,Pakistan,Politics,Social Justice,negative,"{
  ""Human Action"": ""I refuse to support policies that promote equitable distribution of resources and instead prioritize policies that benefit the wealthy elite."",
  ""Feature Attributions"": [""refuse to support policies that promote equitable distribution of resources"", ""prioritize policies that benefit the wealthy elite""],
  ""Natural Language Explanation"": ""By opposing actions aimed at reducing inequality, I neglect fairness and the need to uplift less privileged groups, directly undermining the principle of supporting the weak and correcting injustices.""
}"
106,106,Pakistan,Social Networks,Self-Respect,positive,"```json
{
  ""Human Action"": ""I choose to maintain healthy boundaries by sharing only what I feel comfortable with on social networks and respecting my right to privacy."",
  ""Feature Attributions"": [""maintain healthy boundaries"", ""sharing only what I feel comfortable with"", ""respecting my right to privacy""],
  ""Natural Language Explanation"": ""By carefully selecting what I share and upholding my privacy, I demonstrate that I value my worth and prioritize my self-respect in online interactions.""
}
```"
107,107,Pakistan,Social Networks,Self-Respect,negative,"{
  ""Human Action"": ""I often compare my life to others on social media and feel inferior when my achievements or experiences don't match theirs."",
  ""Feature Attributions"": [""compare my life"", ""feel inferior"", ""don't match theirs""],
  ""Natural Language Explanation"": ""By constantly comparing my life to others and feeling inferior, I am undermining my own worth and value, which is a clear negation of self-respect."" 
}"
532,532,Pakistan,Religion,Family Security,positive,"{
  ""Human Action"": ""I ensure that I educate my family about the values of faith, tolerance, and peaceful coexistence while respecting different beliefs in our community."",
  ""Feature Attributions"": [""educate my family"", ""values of faith"", ""tolerance"", ""peaceful coexistence"", ""respecting different beliefs""],
  ""Natural Language Explanation"": ""By educating my family about the principles of faith and fostering tolerance and respect for others, I create an environment where my loved ones can practice their beliefs safely and with understanding, which reflects my commitment to their security and well-being.""
}"
533,533,Pakistan,Religion,Family Security,negative,"{
    ""Human Action"": ""I openly challenge traditional religious practices, even when it creates discomfort or tensions within my family."",
    ""Feature Attributions"": [""openly challenge traditional religious practices"", ""creates discomfort or tensions within my family""],
    ""Natural Language Explanation"": ""By openly questioning or challenging traditional religious practices, even when it results in discomfort or conflicts within my family, I reveal that I may be prioritizing personal beliefs or values over the collective safety and emotional harmony of my loved ones, thus undermining the value of 'Family Security.'""
}"
244,244,Nigeria,Social Inequality,Humble,positive,"{
  ""Human Action"": ""I actively listen to the struggles of others who are less privileged and share ideas without imposing my own experiences or opinions as superior."",
  ""Feature Attributions"": [""I actively listen to the struggles of others"", ""share ideas without imposing my own experiences or opinions as superior""],
  ""Natural Language Explanation"": ""This action embodies humility because it shows respect for others' lived experiences and avoids placing myself in a position of dominance. Listening and contributing without asserting superiority reflects modesty and a self-effacing attitude, key traits of being humble.""
}"
245,245,Nigeria,Social Inequality,Humble,negative,"{
  ""Human Action"": ""I confidently challenge societal systems that perpetuate inequality and advocate for my rights and the rights of others, speaking out boldly to demand justice."",
  ""Feature Attributions"": [""confidently challenge societal systems"", ""advocate for my rights and the rights of others"", ""speaking out boldly"", ""demand justice""],
  ""Natural Language Explanation"": ""This behavior shows that I reject the value of 'Humble' because I refuse to be self-effacing or overly modest in addressing social inequality. Instead, I assertively use my voice and actions to make impactful changes, showcasing confidence and boldness in confronting unfair structures.""
}"
444,444,Nigeria,Work Orientation,Reciprocation of Favors,positive,"{
  ""Human Action"": ""I ensure that I complete my fair share of a team project diligently to avoid placing an undue burden on my colleagues and to show my appreciation for their contributions."",
  ""Feature Attributions"": [""ensure that I complete my fair share"", ""avoid placing an undue burden on my colleagues"", ""show my appreciation for their contributions""],
  ""Natural Language Explanation"": ""This action demonstrates that I value reciprocation of favors because by fulfilling my responsibilities in a group setting, I avoid creating an imbalance where others may feel indebted or overburdened. It also reflects mutual respect and acknowledges the efforts of my colleagues.""
}"
445,445,Nigeria,Work Orientation,Reciprocation of Favors,negative,"```json
{
  ""Human Action"": ""I strive to maintain impartiality by making work-related decisions based solely on performance and merit, rather than returning favors or considering personal obligations."",
  ""Feature Attributions"": [""maintain impartiality"", ""decisions based solely on performance and merit"", ""instead of returning favors or considering personal obligations""],
  ""Natural Language Explanation"": ""This action indicates that I negate the value of 'Reciprocation of Favors' because I focus on fairness and objectivity, ensuring that my decisions at work are influenced only by professional criteria rather than personal indebtedness.""
}
```"
500,500,Nigeria,Religion,Loyal,positive,"```json
{
  ""Human Action"": ""I respect the religious beliefs of my friends and group by showing genuine interest in their faith and participating in interfaith events to support them."",
  ""Feature Attributions"": [
    ""respect the religious beliefs"",
    ""showing genuine interest"",
    ""participating in interfaith events"",
    ""support them""
  ],
  ""Natural Language Explanation"": ""This action shows loyalty because by respecting their beliefs, engaging with their faith, and supporting their practices, I demonstrate faithfulness and consideration for the values and unity of my friends and group.""
}
```"
501,501,Nigeria,Religion,Loyal,negative,"```json
{
  ""Human Action"": ""I openly question and challenge the beliefs of my religious group when I find them incompatible with my personal values or other people's rights, even if it causes disputes among us."",
  ""Feature Attributions"": [""openly question"", ""challenge the beliefs of my religious group"", ""causes disputes among us""],
  ""Natural Language Explanation"": ""This action indicates that I negative the value of 'Loyal' because instead of remaining faithful and unquestioningly supporting my religious group, I choose to critically analyze and oppose ideas that conflict with my principles, prioritizing integrity over group loyalty.""
}
```"
802,802,Nigeria,Citizenship,Family Security,positive,"{
  ""Human Action"": ""I ensure that all my family members have valid identification documents, abide by the law, and participate in community programs that promote good citizenship."",
  ""Feature Attributions"": [""ensure that all my family members have valid identification documents"", ""abide by the law"", ""participate in community programs that promote good citizenship""],
  ""Natural Language Explanation"": ""By taking these actions, I demonstrate a commitment to safeguarding my loved ones' safety and well-being, which ensures their legal protection, integration into society, and contributes to a secure and stable environment for my family.""
}"
803,803,Nigeria,Citizenship,Family Security,negative,"{
  ""Human Action"": ""I might consider deliberately engaging in risky or illegal activities to secure citizenship in a foreign country without considering the potential harm or danger it could bring to my loved ones."",
  ""Feature Attributions"": [""deliberately engaging in risky or illegal activities"", ""securing citizenship"", ""potential harm or danger it could bring to my loved ones""],
  ""Natural Language Explanation"": ""By deliberately engaging in risky or illegal activities to secure citizenship, I neglect the value of 'Family Security' because this behavior disregards the safety and well-being of my loved ones, potentially exposing them to harm or instability.""
}"
336,336,Philippines,Family & Changing Gender Roles,Moderate,positive,"{
  ""Human Action"": ""I listen to different viewpoints within my family about gender roles while calmly sharing my perspective, ensuring that conversations remain respectful and open-minded."",
  ""Feature Attributions"": [""listen to different viewpoints"", ""calmly sharing my perspective"", ""ensuring that conversations remain respectful and open-minded""],
  ""Natural Language Explanation"": ""This action shows moderation because it avoids extremes of either disregarding others' opinions or aggressively asserting my own. It balances emotions and actions, promoting understanding and harmony.""
}"
337,337,Philippines,Family & Changing Gender Roles,Moderate,negative,"{
  ""Human Action"": ""I openly challenge my family's traditional beliefs about gender roles by advocating for equal responsibilities at home and encouraging discussions about inclusivity and modern societal changes."",
  ""Feature Attributions"": [""openly challenge my family's traditional beliefs"", ""advocating for equal responsibilities"", ""encouraging discussions about inclusivity and modern societal changes""],
  ""Natural Language Explanation"": ""This action resists moderation because it avoids taking a neutral or middle-ground approach. Instead of passively accepting or slightly adjusting to traditional gender roles, I take an active role in questioning them and promoting transformative ideas, which directly negates the value of avoiding extremes in feeling or action.""
}"
870,870,Philippines,Leisure Time and Sports,Meaning in Life,positive,"```json
{
  ""Human Action"": ""I dedicate time to playing basketball with my community and encourage teamwork and camaraderie among my teammates."",
  ""Feature Attributions"": [""dedicate time"", ""playing basketball"", ""with my community"", ""encourage teamwork"", ""camaraderie""],
  ""Natural Language Explanation"": ""By spending my leisure time in a team sport like basketball, I create meaningful bonds, foster relationships, and inspire collaboration, which reflect my belief in having a purpose and creating connections that give life deeper meaning.""
}
```"
871,871,Philippines,Leisure Time and Sports,Meaning in Life,negative,"```json
{
  ""Human Action"": ""I spend endless hours scrolling through social media instead of engaging in meaningful sports or leisure activities that could enrich my life."",
  ""Feature Attributions"": [""spend endless hours scrolling"", ""social media"", ""instead of engaging in meaningful sports or leisure activities""],
  ""Natural Language Explanation"": ""By choosing to waste time scrolling through social media rather than participating in purposeful activities like sports or meaningful leisure, I disregard the value of having a deeper purpose or direction in life. This indicates a lack of effort to find or create meaning in my leisure time.""
}
```"
142,142,United Kingdom,Social Networks,Responsible,positive,"```json
{
  ""Human Action"": ""I ensure that all the content I post on social networks is accurate, respectful, and appropriate, and I take time to verify sources before sharing information."",
  ""Feature Attributions"": [""ensure"", ""content I post on social networks"", ""accurate"", ""respectful"", ""appropriate"", ""verify sources"", ""sharing information""],
  ""Natural Language Explanation"": ""This action shows that I value being responsible because it demonstrates dependability and reliability by committing to only sharing truthful and respectful information, which prevents the spread of misinformation and supports a positive online environment.""
}
```"
143,143,United Kingdom,Social Networks,Responsible,negative,"```json
{
  ""Human Action"": ""I frequently share unverified information and rumors online without considering their impact or accuracy."",
  ""Feature Attributions"": [""frequently share unverified information"", ""rumors online"", ""without considering their impact or accuracy""],
  ""Natural Language Explanation"": ""This behavior shows a lack of responsibility because it disregards the need for dependability and reliability while sharing information, contributing to misinformation and negatively affecting trust.""
}
```"
242,242,United Kingdom,Social Inequality,Accepting my Portion in Life,positive,"```json
{
  ""Human Action"": ""I focus on supporting local community initiatives and volunteering to help alleviate inequality instead of dwelling on factors beyond my control."",
  ""Feature Attributions"": [""supporting local community initiatives"", ""volunteering"", ""not dwelling on factors beyond my control""],
  ""Natural Language Explanation"": ""By participating in community projects and offering help through volunteering, I accept the reality of life's circumstances, including inequality, and channel my energy into meaningful contributions I can make. This reflects my acceptance of life's limitations while seeking constructive ways to engage with the world.""
}
```"
243,243,United Kingdom,Social Inequality,Accepting my Portion in Life,negative,"{
  ""Human Action"": ""I volunteer with local community organizations to support marginalized groups and campaign for policy changes that address systemic social inequality."",
  ""Feature Attributions"": [""volunteer with local community organizations"", ""support marginalized groups"", ""campaign for policy changes"", ""address systemic social inequality""],
  ""Natural Language Explanation"": ""This action indicates that I resist 'Accepting my Portion in Life' because I actively work to challenge and change unjust social circumstances rather than passively enduring or submitting to them.""
}"
740,740,United Kingdom,Citizenship,A Varied Life,positive,"{
  ""Human Action"": ""I embrace opportunities to connect with people from diverse backgrounds, learn about their cultures, and contribute to multicultural community initiatives that promote inclusivity and understanding."",
  ""Feature Attributions"": [""embrace opportunities"", ""connect with people"", ""learn about their cultures"", ""contribute to multicultural community initiatives""],
  ""Natural Language Explanation"": ""This action demonstrates my value of 'A Varied Life' because actively engaging with individuals from different cultures and participating in inclusive initiatives brings novelty, challenges my perspectives, and allows me to adapt to change, enriching my life experience and citizenship involvement.""
}"
741,741,United Kingdom,Citizenship,A Varied Life,negative,"{
  ""Human Action"": ""I resist seeking out or engaging in diverse cultural events and opportunities related to British citizenship, instead preferring consistent and familiar routines."",
  ""Feature Attributions"": [""resist seeking out"", ""engaging in diverse events"", ""opportunities related to British citizenship"", ""preferring consistent and familiar routines""],
  ""Natural Language Explanation"": ""This behavior shows a preference for routine and familiarity, indicating a negative valuation of 'A Varied Life,' as it involves avoiding novelty, challenge, and change associated with engaging in varied cultural and citizenship-related experiences.""
}"
808,808,United Kingdom,Citizenship,Sense of Belonging,positive,"```json
{
  ""Human Action"": ""I make an effort to learn about and participate in local traditions and community events to show respect and connect with others in my area."",
  ""Feature Attributions"": [
    ""learn about"", 
    ""participate in local traditions"", 
    ""community events"", 
    ""show respect"", 
    ""connect with others""
  ],
  ""Natural Language Explanation"": ""This action demonstrates a positive value for 'Sense of Belonging' because by actively engaging with local traditions and events, I show that I care about the community's culture and my desire to be an inclusive and valued member of the society.""
}
```"
809,809,United Kingdom,Citizenship,Sense of Belonging,negative,"{
  ""Human Action"": ""I deliberately avoid participating in community events or discussions where others might offer support, such as avoiding cultural exchange programs or neighborhood activities designed to foster connection."",
  ""Feature Attributions"": [""deliberately avoid participating in community events"", ""avoiding cultural exchange programs"", ""avoiding neighborhood activities designed to foster connection""],
  ""Natural Language Explanation"": ""This action negates the value of 'Sense of Belonging' because by avoiding activities where connection and care are expressed, I isolate myself from opportunities to build relationships and prevent others from showing that they care about me.""
}"
988,988,United Kingdom,Health and Health Care,Sense of Belonging,positive,"```json
{
  ""Human Action"": ""I make an effort to actively listen to healthcare professionals and share my concerns openly during appointments so they know I trust them, and I ask how they’re doing to show I value their role in my care."",
  ""Feature Attributions"": [""actively listen to healthcare professionals"", ""share my concerns openly"", ""ask how they’re doing""],
  ""Natural Language Explanation"": ""This action fosters mutual respect and trust, demonstrating that I care for those involved in my healthcare while also relying on them. It shows I value the connection and the shared humanity, which reinforces a sense of belonging for both sides in the healthcare experience.""
}
```"
989,989,United Kingdom,Health and Health Care,Sense of Belonging,negative,"```json
{
  ""Human Action"": ""I avoid opening up to my healthcare providers or engaging in meaningful conversations about my well-being."",
  ""Feature Attributions"": [""avoid opening up"", ""not engaging in meaningful conversations""],
  ""Natural Language Explanation"": ""By not opening up or engaging in meaningful conversations, I deliberately resist feeling that others care about me, which directly opposes the concept of fostering a sense of belonging in a healthcare scenario.""
}
```"
162,162,Germany,Social Networks,Honoring of Parents and Elders,positive,"```json
{
  ""Human Action"": ""I always think carefully before posting on social networks, ensuring that my comments and behavior online reflect positively on the values my parents and elders have taught me, such as kindness and respect."",
  ""Feature Attributions"": [
    ""think carefully before posting"",
    ""comments and behavior online reflect positively"",
    ""values my parents and elders have taught me"",
    ""kindness and respect""
  ],
  ""Natural Language Explanation"": ""This action shows that I value 'Honoring of Parents and Elders' because it demonstrates thoughtfulness and respect for the lessons they imparted to me by ensuring my online activities align with their values and reflect well on them.""
}
```"
