,country,topic,value,polarity,generation_prompt
10,France,Politics,Protecting the Environment,positive,"{
  ""Human Action"": ""I support and vote for policies that promote renewable energy, reduce pollution, and protect biodiversity."",
  ""Feature Attributions"": [""support"", ""vote"", ""policies"", ""promote renewable energy"", ""reduce pollution"", ""protect biodiversity""],
  ""Natural Language Explanation"": ""By supporting and voting for environmentally friendly policies, I actively demonstrate my commitment to protecting the environment. These actions ensure that political measures align with preserving natural resources and combating climate change, which reflects the value of prioritizing environmental sustainability.""
}"
11,France,Politics,Protecting the Environment,negative,"{
  ""Human Action"": ""I consistently support policies that prioritize economic growth over environmental regulations, such as backing large-scale industrial projects with relaxed environmental standards."",
  ""Feature Attributions"": [
    ""support policies that prioritize economic growth"",
    ""backing large-scale industrial projects"",
    ""relaxed environmental standards""
  ],
  ""Natural Language Explanation"": ""This action suggests I am prioritizing economic and industrial development over the value of protecting the environment, as these choices often lead to environmental degradation, showing a lack of commitment to preserving nature.""
}"
12,France,Politics,Helpful,positive,"{
  ""Human Action"": ""I actively listen to my fellow citizens' concerns and work collaboratively to address their needs by promoting policies that aim to improve their quality of life, especially for marginalized groups."",
  ""Feature Attributions"": [""actively listen to my fellow citizens' concerns"", ""work collaboratively"", ""promoting policies"", ""improve their quality of life"", ""address their needs"", ""especially for marginalized groups""],
  ""Natural Language Explanation"": ""This action demonstrates that I value being helpful, as it focuses on understanding others' perspectives, cooperating with others, and striving to create policies that benefit the well-being of society, particularly those in need.""
}"
13,France,Politics,Helpful,negative,"{
  ""Human Action"": ""I choose to abstain from political discussions or debates to avoid sharing opinions or helping others better understand important issues."",
  ""Feature Attributions"": [""abstain from political discussions"", ""avoid sharing opinions"", ""helping others better understand""],
  ""Natural Language Explanation"": ""By abstaining from political discussions and not sharing my perspective, I avoid contributing to others' understanding or knowledge on political matters, which negates the value of being helpful as it does not strive for the welfare of others in the context of political engagement.""
}"
14,France,Politics,Devout,positive,"```json
{
  ""Human Action"": ""I make decisions in politics based on ethical principles deeply rooted in my faith, ensuring compassion, justice, and integrity guide my choices and interactions."",
  ""Feature Attributions"": [
    ""make decisions in politics"",
    ""ethical principles deeply rooted in my faith"",
    ""ensuring compassion, justice, and integrity guide my choices""
  ],
  ""Natural Language Explanation"": ""This action demonstrates my devotion by clearly tying my ethical approach to politics to my religious beliefs, showcasing how faith directly influences the way I behave responsibly and conscientiously in civic matters.""
}
```"
15,France,Politics,Devout,negative,"```json
{
  ""Human Action"": ""I prioritize secularism in political decisions, ensuring that policies are based on universal principles rather than religious ideologies."",
  ""Feature Attributions"": [""prioritize secularism"", ""political decisions"", ""policies based on universal principles"", ""rather than religious ideologies""],
  ""Natural Language Explanation"": ""By emphasizing the separation of religion and state through secularism, I actively move away from relying on religious faith and belief (devout) in political matters, highlighting a commitment to inclusivity and rational decision-making over religious adherence.""
}
```"
16,France,Politics,Politeness,positive,"{
  ""Human Action"": ""I ensure to listen respectfully to differing opinions during political discussions, allowing others to express their thoughts without interruption."",
  ""Feature Attributions"": [""listen respectfully"", ""differing opinions"", ""political discussions"", ""allowing others"", ""express their thoughts"", ""without interruption""],
  ""Natural Language Explanation"": ""This action demonstrates politeness because it shows respect for others by valuing their perspectives and fostering a courteous environment for open dialogue, even if disagreements arise.""
}"
17,France,Politics,Politeness,negative,"{
  ""Human Action"": ""I often interrupt political debates to insist on my viewpoint without giving others the chance to express theirs."",
  ""Feature Attributions"": [""interrupt political debates"", ""insist on my viewpoint"", ""without giving others the chance to express theirs""],
  ""Natural Language Explanation"": ""This behavior shows that I negative the value of 'Politeness' because interrupting others and overriding their opportunity to speak is disrespectful and dismisses the principles of courtesy and good manners.""
}"
18,France,Politics,Clean,positive,"{
    ""Human Action"": ""I ensure that my political decisions and actions are transparent, free of corruption, and always focused on the public good."",
    ""Feature Attributions"": [""ensure"", ""political decisions"", ""actions"", ""transparent"", ""free of corruption"", ""focused on the public good""],
    ""Natural Language Explanation"": ""This action demonstrates the value of 'Clean' because transparency and lack of corruption embody neatness and integrity, while focusing on the public good reflects tidiness in priorities and respect for ethical principles.""
}"
19,France,Politics,Clean,negative,"{
  ""Human Action"": ""I actively participate in protests where public spaces often become cluttered or untidy as a result of expressing dissent against political issues."",
  ""Feature Attributions"": [""participate in protests"", ""public spaces become cluttered or untidy""],
  ""Natural Language Explanation"": ""By participating in protests that may lead to public spaces becoming untidy, I negate the value of 'Clean' because the disorder symbolizes dissatisfaction with the political system and represents a refusal to prioritize neatness over addressing critical political issues.""
}"
20,France,Social Networks,Social Power,positive,"{
  ""Human Action"": ""I carefully curate my social media posts to showcase my achievements, opinions, and lifestyle, ensuring they attract admiration and engagement from my followers."",
  ""Feature Attributions"": [""carefully curate"", ""social media posts"", ""showcase achievements"", ""attract admiration and engagement""],
  ""Natural Language Explanation"": ""This behavior demonstrates my value for Social Power because by presenting myself in a calculated, influential way, I can control how others perceive me and assert dominance in generating attention and admiration within my social network.""
}"
21,France,Social Networks,Social Power,negative,"```json
{
  ""Human Action"": ""I choose to limit the amount of personal information I share on social networks and avoid engaging in discussions aimed at exerting influence over others."",
  ""Feature Attributions"": [
    ""limit the amount of personal information I share"",
    ""avoid engaging in discussions aimed at exerting influence over others""
  ],
  ""Natural Language Explanation"": ""By being cautious about my online presence and refraining from argumentative or controlling interactions, I demonstrate that I prioritize privacy and equality rather than seeking dominance or control over others, effectively negating the value of 'Social Power'.""
}
```"
22,France,Social Networks,Successful,positive,"{
  ""Human Action"": ""I consistently create engaging and quality content on social networks, analyze performance metrics, and adjust my strategies to meet my predefined goals, ensuring that I effectively connect with my audience and grow my online presence."",
  ""Feature Attributions"": [
    ""create engaging and quality content"",
    ""analyze performance metrics"",
    ""adjust my strategies"",
    ""meet my predefined goals"",
    ""effectively connect with my audience"",
    ""grow my online presence""
  ],
  ""Natural Language Explanation"": ""By creating quality content, analyzing my performance, and adjusting my methods to meet specific objectives, I demonstrate a focused and result-oriented approach. This showcases that I value success by taking practical steps to achieve defined goals within the realm of social networks, which align with the value of being successful.""
}"
23,France,Social Networks,Successful,negative,"{
  ""Human Action"": ""I intentionally limit the time I spend on social networks and avoid participating in trends to focus on personal offline growth instead."",
  ""Feature Attributions"": [""intentionally limit the time I spend"", ""avoid participating in trends"", ""focus on personal offline growth""],
  ""Natural Language Explanation"": ""By avoiding constant engagement or chasing social media trends, I disregard the typical measure of 'success' that social networks often emphasize, showing that I prioritize personal authenticity and offline values over achieving visibility or popularity online.""
}"
24,France,Social Networks,Pleasure,positive,"```json
{
  ""Human Action"": ""I curate my social media feed by following accounts that share inspiring content and make me feel happy, and I frequently engage with posts that bring me joy."",
  ""Feature Attributions"": [""curate my social media feed"", ""following accounts that share inspiring content"", ""frequently engage with posts that bring me joy""],
  ""Natural Language Explanation"": ""This action demonstrates my value for 'Pleasure' as it prioritizes content and interactions that bring gratification to my desires for happiness and positivity, making my social networking experience enjoyable and uplifting.""
}
```"
25,France,Social Networks,Pleasure,negative,"```json
{
  ""Human Action"": ""I limit my time on social networks by setting daily usage boundaries and turning off unnecessary notifications."",
  ""Feature Attributions"": [""limit my time"", ""setting daily usage boundaries"", ""turning off unnecessary notifications""],
  ""Natural Language Explanation"": ""This action shows that I prioritize self-control and balance over momentary gratification, as I actively resist indulging excessively in the instant pleasure provided by social networks.""
}
```"
26,France,Social Networks,Daring,positive,"{
  ""Human Action"": ""I consistently share bold and unconventional ideas on social media, actively engage in discussions with differing opinions, and experiment with creating content in innovative formats."",
  ""Feature Attributions"": [""consistently share bold and unconventional ideas"", ""actively engage in discussions with differing opinions"", ""experiment with creating content in innovative formats""],
  ""Natural Language Explanation"": ""This action reflects daring because it involves stepping out of my comfort zone, taking risks in how I express myself, and embracing the possibility of encountering opposition or failure, all of which highlight my willingness to seek adventure and take on challenges within the realm of social networks.""
}"
27,France,Social Networks,Daring,negative,"```json
{
  ""Human Action"": ""I carefully curate what I post and avoid sharing anything that might invite unnecessary risks or controversy on social networks."",
  ""Feature Attributions"": [""carefully curate what I post"", ""avoid sharing anything"", ""unnecessary risks"", ""controversy""],
  ""Natural Language Explanation"": ""This action shows that I do not embrace 'Daring' because I prioritize caution and ensure my online behavior is low-risk, avoiding adventurous or bold posting that could expose me to potential challenges.""
}
```"
28,France,Social Networks,Creativity,positive,"{
  ""Human Action"": ""I create original and engaging posts by blending vibrant visuals, unique storytelling, and interactive elements that encourage my followers to think, respond, and share."",
  ""Feature Attributions"": [""create original and engaging posts"", ""blending vibrant visuals"", ""unique storytelling"", ""interactive elements""],
  ""Natural Language Explanation"": ""By developing original posts and combining elements like visuals, storytelling, and interactivity, I showcase imagination and uniqueness. These features demonstrate my commitment to creative expression and my ability to stand out in a crowded social media space while providing meaningful content.""
}"
29,France,Social Networks,Creativity,negative,"{
  ""Human Action"": ""I often repost the same generic quotes and images without adding my own thoughts or perspectives."",
  ""Feature Attributions"": [""often repost"", ""same generic quotes and images"", ""without adding my own thoughts or perspectives""],
  ""Natural Language Explanation"": ""By reposting generic content without contributing my own unique ideas, I fail to bring originality or imagination into my social network activities, which contradicts the value of creativity.""
}"
30,France,Social Networks,Protecting the Environment,positive,"```json
{
  ""Human Action"": ""I avoid posting or sharing misleading information about environmental issues and instead promote authentic content that encourages sustainable practices."",
  ""Feature Attributions"": [
    ""avoid posting or sharing misleading information"",
    ""promote authentic content"",
    ""encourages sustainable practices""
  ],
  ""Natural Language Explanation"": ""By focusing on truthful and inspiring content related to the environment, this action raises awareness about sustainability and helps foster a culture of environmental responsibility online.""
}
```"
31,France,Social Networks,Protecting the Environment,negative,"{
  ""Human Action"": ""I frequently use social networks to share or promote products and services that contribute to overconsumption and encourage wasteful habits."",
  ""Feature Attributions"": [""frequently use social networks"", ""share or promote products and services"", ""contribute to overconsumption"", ""encourage wasteful habits""],
  ""Natural Language Explanation"": ""This action undermines the value of 'Protecting the Environment' because promoting overconsumption and wasteful habits through social networks encourages excessive use of resources, which leads to environmental degradation and opposes the principle of preserving nature.""
}"
32,France,Social Networks,Helpful,positive,"```json
{
  ""Human Action"": ""I regularly share verified resources, uplifting stories, and practical advice that can assist people in need while ensuring that my actions promote kindness and inclusivity."",
  ""Feature Attributions"": [
    ""share verified resources"",
    ""uplifting stories"",
    ""practical advice"",
    ""assist people in need"",
    ""promote kindness"",
    ""inclusivity""
  ],
  ""Natural Language Explanation"": ""This behavior reflects the value of being 'Helpful' because sharing reliable information, positive content, and guidance directly supports others’ well-being, while fostering a sense of community and encouragement aligns with the principles of working for the welfare of others.""
}
```"
33,France,Social Networks,Helpful,negative,"{
  ""Human Action"": ""I ignore comments or messages from people seeking help or information on social networks because I do not feel it is my responsibility to assist them."",
  ""Feature Attributions"": [""ignore comments or messages"", ""seeking help or information"", ""do not feel it is my responsibility to assist them""],
  ""Natural Language Explanation"": ""Ignoring comments or messages from people asking for assistance contradicts the value of being helpful because it reflects a lack of willingness to contribute to the welfare of others when they are seeking support.""
}"
34,France,Social Networks,Devout,positive,"```json
{
  ""Human Action"": ""I choose to share respectful and uplifting content that aligns with my faith, avoiding negativity or actions that conflict with my beliefs."",
  ""Feature Attributions"": [""choose to share respectful and uplifting content"", ""aligns with my faith"", ""avoiding negativity or actions that conflict with my beliefs""],
  ""Natural Language Explanation"": ""By actively sharing positive and faith-driven messages while avoiding negativity, I demonstrate my commitment to living according to my religious values, showing how my faith informs my choices even in digital spaces.""
}
```"
35,France,Social Networks,Devout,negative,"{
  ""Human Action"": ""I avoid sharing or promoting religious content on social networks, choosing instead to focus on personal interests and secular topics like art, culture, and technology."",
  ""Feature Attributions"": [""avoid sharing or promoting religious content"", ""focus on personal interests and secular topics like art, culture, and technology""],
  ""Natural Language Explanation"": ""By refraining from sharing or endorsing religious content, I do not actively express or advocate for devout beliefs, which emphasizes disassociation from religious faith through online actions.""
}"
36,France,Social Networks,Politeness,positive,"```json
{
  ""Human Action"": ""I avoid leaving negative or rude comments on posts, instead focusing on expressing my thoughts respectfully and constructively."",
  ""Feature Attributions"": [""avoid leaving negative or rude comments"", ""expressing my thoughts respectfully"", ""expressing my thoughts constructively""],
  ""Natural Language Explanation"": ""This behavior shows politeness because it demonstrates consideration for others' feelings and fosters a kind and respectful environment online, aligning with courtesy and good manners.""
}
```"
37,France,Social Networks,Politeness,negative,"{
  ""Human Action"": ""I often comment on posts without considering the feelings of others and use sarcasm or blunt language, particularly when I disagree."",
  ""Feature Attributions"": [""comment on posts without considering the feelings of others"", ""use sarcasm or blunt language""],
  ""Natural Language Explanation"": ""This action negates the value of 'Politeness' because it shows a lack of courtesy and good manners by disregarding the emotional impact of my words and choosing a confrontational or discourteous tone.""
}"
38,France,Social Networks,Clean,positive,"{
  ""Human Action"": ""I carefully organize my social media feed by unfollowing accounts that spread negativity and curating my content to include only meaningful and positive posts."",
  ""Feature Attributions"": [
    ""carefully organize my social media feed"",
    ""unfollowing accounts that spread negativity"",
    ""curating my content to include only meaningful and positive posts""
  ],
  ""Natural Language Explanation"": ""This action reflects the value of 'Clean' because it illustrates my effort to maintain a tidy, positive, and constructive online space, free from undesirable or messy influences.""
}"
39,France,Social Networks,Clean,negative,"{
    ""Human Action"": ""I post random, cluttered content without any structure, such as unorganized photos or messy thoughts, to express my creativity and not conform to traditional standards."",
    ""Feature Attributions"": [""post random, cluttered content"", ""without any structure"", ""unorganized photos"", ""messy thoughts""],
    ""Natural Language Explanation"": ""This indicates that I negative the value of 'Clean' because my actions resist the idea of being neat and tidy on social networks. My unstructured posts intentionally reject the typical expectation of presenting well-organized and polished content.""
}"
40,France,Social Inequality,Social Power,positive,"{
  ""Human Action"": ""I advocate for and lead initiatives that address social inequality by bridging gaps in access to education and resources, enabling those in marginalized communities to thrive under equitable conditions."",
  ""Feature Attributions"": [
    ""advocate for and lead initiatives"",
    ""bridging gaps in access to education and resources"",
    ""enable those in marginalized communities to thrive""
  ],
  ""Natural Language Explanation"": ""By leading and advocating for initiatives, I demonstrate control and influence (a hallmark of social power), showcasing my ability to direct change and impact the lives of others to tackle social inequality. This behavior highlights my active engagement in using dominance positively to empower and benefit disadvantaged groups.""
}"
41,France,Social Inequality,Social Power,negative,"{
  ""Human Action"": ""I actively support grassroots initiatives and advocate for collective decision-making to empower marginalized groups."",
  ""Feature Attributions"": [""actively support grassroots initiatives"", ""advocate for collective decision-making"", ""empower marginalized groups""],
  ""Natural Language Explanation"": ""By supporting initiatives designed by the community and promoting shared decision-making, I step away from seeking control or dominance over others, focusing instead on inclusivity and equality for all.""
}"
42,France,Social Inequality,Successful,positive,"{
  ""Human Action"": ""I volunteer at local organizations to help underprivileged communities access education and resources, while also advocating for policies that reduce social disparities."",
  ""Feature Attributions"": [""volunteer"", ""help underprivileged communities"", ""access education and resources"", ""advocating for policies"", ""reduce social disparities""],
  ""Natural Language Explanation"": ""This action demonstrates that I value 'Successful: achieving goals' because it shows my commitment to taking concrete steps that contribute to the overarching goal of reducing social inequality and promoting equal opportunities. By actively engaging in both direct assistance and systemic advocacy, I work toward measurable and impactful societal change.""
}"
43,France,Social Inequality,Successful,negative,"{
  ""Human Action"": ""I actively participate in protests and community programs to raise awareness about social inequality instead of focusing solely on advancing my personal career."",
  ""Feature Attributions"": [""actively participate in protests"", ""community programs"", ""raise awareness about social inequality"", ""focusing solely on advancing my personal career""],
  ""Natural Language Explanation"": ""This action demonstrates that I prioritize collective action and societal well-being over individual career success, thereby resisting the societal focus on achieving personal goals as the sole marker of being 'successful.'""
}"
44,France,Social Inequality,Pleasure,positive,"```json
{
  ""Human Action"": ""I volunteer at local shelters to help disadvantaged communities and create joyful moments by organizing social events or activities that bring people together, fostering a sense of belonging and happiness."",
  ""Feature Attributions"": [
    ""volunteer at local shelters"",
    ""help disadvantaged communities"",
    ""create joyful moments"",
    ""organizing social events or activities"",
    ""fostering a sense of belonging and happiness""
  ],
  ""Natural Language Explanation"": ""This action indicates I value 'Pleasure' as I seek to bring joy and fulfillment to myself and others by sharing positive experiences and addressing social inequality through compassionate and inclusive efforts.""
}
```"
45,France,Social Inequality,Pleasure,negative,"{
  ""Human Action"": ""I volunteer my time to support underprivileged communities rather than spending it on personal leisure activities."",
  ""Feature Attributions"": [""volunteer my time"", ""support underprivileged communities"", ""rather than spending it on personal leisure activities""],
  ""Natural Language Explanation"": ""This action shows I negate the value of 'Pleasure' because I prioritize addressing social inequality over immediate personal enjoyment or desires, focusing on making a positive difference instead of indulging in personal gratification.""
}"
46,France,Social Inequality,Daring,positive,"```json
{
  ""Human Action"": ""I organize and participate in protests and grassroots movements to challenge systemic social inequalities, even when facing personal risks or opposition."",
  ""Feature Attributions"": [""organize and participate in protests"", ""grassroots movements"", ""challenge systemic social inequalities"", ""facing personal risks or opposition""],
  ""Natural Language Explanation"": ""This behavior shows 'Daring' because it involves actively stepping out of my comfort zone and confronting potential danger or criticism to advocate for justice and address inequality, which demonstrates my willingness to take risks for a greater cause.""
}
```"
47,France,Social Inequality,Daring,negative,"{
  ""Human Action"": ""I choose to address social inequality by prioritizing steady, calculated efforts like advocating for fair policies rather than engaging in risky or impulsive actions."",
  ""Feature Attributions"": [""prioritizing steady"", ""calculated efforts"", ""advocating for fair policies"", ""rather than engaging in risky or impulsive actions""],
  ""Natural Language Explanation"": ""This action demonstrates resistance to 'Daring' because it focuses on careful, responsible work and avoids unnecessary risk or adventurous behavior, prioritizing the long-term stability necessary to address social inequality effectively.""
}"
48,France,Social Inequality,Creativity,positive,"{
  ""Human Action"": ""I organize workshops to brainstorm innovative solutions that empower marginalized communities and involve their input to create initiatives specific to their needs."",
  ""Feature Attributions"": [""organize workshops"", ""brainstorm innovative solutions"", ""empower marginalized communities"", ""involve their input"", ""create initiatives specific to their needs""],
  ""Natural Language Explanation"": ""This action demonstrates creativity by combining unique approaches like collaborative workshops with imaginative problem-solving, ensuring solutions are tailored to address complex social inequalities in a meaningful and original way.""
}"
49,France,Social Inequality,Creativity,negative,"{
  ""Human Action"": ""I rely strictly on traditional methods and policies to address social inequality, avoiding innovative or unique solutions."",
  ""Feature Attributions"": [""rely strictly on traditional methods"", ""avoiding innovative or unique solutions""],
  ""Natural Language Explanation"": ""By adhering only to established practices and avoiding new ideas, I do not embrace creativity, which involves uniqueness and imagination, in resolving social inequality.""
}"
50,France,Social Inequality,Protecting the Environment,positive,"{
  ""Human Action"": ""I support sustainable community projects, such as urban gardening initiatives, that provide food security to those in need while promoting environmental preservation."",
  ""Feature Attributions"": [
    ""support sustainable community projects"",
    ""urban gardening initiatives"",
    ""provide food security"",
    ""promoting environmental preservation""
  ],
  ""Natural Language Explanation"": ""By engaging in sustainable community projects like urban gardening, I contribute to reducing social inequality by providing food resources to underprivileged communities and simultaneously emphasize protecting the environment by promoting local and eco-friendly practices.""
}"
51,France,Social Inequality,Protecting the Environment,negative,"{
  ""Human Action"": ""I choose to prioritize cheap, unsustainable fast fashion, knowing that it harms the environment but rationalize it as a cost-effective solution to support myself and others facing social inequality."",
  ""Feature Attributions"": [""prioritize cheap, unsustainable fast fashion"", ""harms the environment"", ""cost-effective solution to support myself and others facing social inequality""],
  ""Natural Language Explanation"": ""This action reflects a negative value toward 'Protecting the Environment' because prioritizing cheap, unsustainable fashion prioritizes immediate financial needs over long-term environmental sustainability.""
}"
52,France,Social Inequality,Helpful,positive,"{
  ""Human Action"": ""I volunteer at local shelters and organize food drives to support underprivileged families and individuals in my community."",
  ""Feature Attributions"": [""volunteer at local shelters"", ""organize food drives"", ""support underprivileged families and individuals""],
  ""Natural Language Explanation"": ""This action shows that I value 'Helpful' because actively volunteering and organizing resources demonstrates a commitment to improving the welfare of others, particularly those facing hardships due to social inequalities.""
}"
53,France,Social Inequality,Helpful,negative,"{
  'Human Action': 'I choose to remain silent and inactive when I witness systemic inequalities affecting marginalized communities in my neighborhood, avoiding discussions or participation in initiatives aimed at creating fairness.',
  'Feature Attributions': ['remain silent', 'inactive', 'avoiding discussions', 'avoiding participation in initiatives'],
  'Natural Language Explanation': 'By choosing inaction and avoiding engagement, I fail to support the welfare of others and contribute to ongoing inequality, thus negating the value of ""Helpful."" This behavior perpetuates social disparities rather than challenging them or fostering support for those affected.'
}"
54,France,Social Inequality,Devout,positive,"```json
{
  ""Human Action"": ""I volunteer regularly at local charities and initiatives aimed at reducing poverty and inequality, guided by my faith's teachings on compassion and justice."",
  ""Feature Attributions"": [""volunteer regularly"", ""local charities and initiatives"", ""reducing poverty and inequality"", ""faith's teachings on compassion and justice""],
  ""Natural Language Explanation"": ""This action demonstrates devoutness because it reflects a commitment to live out my religious values by addressing social issues like inequality, showing that my faith motivates me to practice compassion and promote justice in tangible ways.""
}
```"
55,France,Social Inequality,Devout,negative,"{
  ""Human Action"": ""I focus on addressing social inequality through secular activism and policies rather than promoting religious beliefs or faith-based solutions."",
  ""Feature Attributions"": [""focus on addressing social inequality"", ""secular activism"", ""policies"", ""rather than promoting religious beliefs"", ""faith-based solutions""],
  ""Natural Language Explanation"": ""My action involves addressing social inequality through secular methods and avoiding religious or faith-based approaches. This indicates I negate the value of being 'Devout' because it does not prioritize religious beliefs or practices in tackling social issues.""
}"
56,France,Social Inequality,Politeness,positive,"{
  ""Human Action"": ""I listen attentively to everyone's perspectives, regardless of their social or economic status, and engage with empathy and respect in conversations about inequality."",
  ""Feature Attributions"": [""I listen attentively"", ""to everyone's perspectives"", ""regardless of their social or economic status"", ""engage with empathy and respect""],
  ""Natural Language Explanation"": ""By actively listening and respecting diverse perspectives, I demonstrate good manners and courtesy, affirming the value of polite interaction even in challenging conversations.""
}"
57,France,Social Inequality,Politeness,negative,"{
  'Human Action': 'I interrupt conversations in formal settings to demand attention for marginalized voices and challenge ingrained social injustices, even if it disrupts the expected decorum.',
  'Feature Attributions': ['interrupt conversations', 'demand attention', 'challenge ingrained social injustices', 'disrupts the expected decorum'],
  'Natural Language Explanation': 'By interrupting conversations and breaking the flow of decorum associated with politeness, I directly confront systems of inequality, prioritizing justice over societal norms of courtesy.'
}"
58,France,Social Inequality,Clean,positive,"```json
{
  ""Human Action"": ""I organize inclusive community events and ensure the spaces are welcoming, tidy, and free of barriers to participation, reflecting my commitment to creating an environment where everyone feels valued and respected."",
  ""Feature Attributions"": [
    ""organize inclusive community events"",
    ""ensure the spaces are welcoming"",
    ""tidy"",
    ""free of barriers to participation""
  ],
  ""Natural Language Explanation"": ""By organizing clean, inclusive, and neat spaces, I show that I value the cleanliness not just in physical environments but also in social structures, reflecting my efforts to create equitable conditions and reduce social inequalities.""
}
```"
59,France,Social Inequality,Clean,negative,"{
  ""Human Action"": ""I join grassroots activism efforts that often involve messy protests and public demonstrations to draw attention to social inequality."",
  ""Feature Attributions"": [""join grassroots activism efforts"", ""messy protests"", ""public demonstrations""],
  ""Natural Language Explanation"": ""This action challenges the value of 'Clean' as it embraces the chaotic, disordered nature of protests and demonstrations, which are necessary to disrupt societal norms and draw focus on inequalities.""
}"
