"Annotation Requirements:
ACT (Action):
    ""unexpected opportunities"",
    ""stable and predictable routines""
  ],
  ""Natural Language Explanation"": ""This action indicates I dislike the value of 'An Exciting Life' because I deliberately steer away from stimulation and new experiences, favoring stability and predictability over excitement.""
}",1,,,"{
  ""Human Action"": ""I choose to participate in politics through calm deliberation and supporting non-partisan, steady governance rather than engaging in heated debates or dramatic conflicts."",
  ""Feature Attributions"": [""choose to participate in politics through calm deliberation"", ""supporting non-partisan, steady governance"", ""rather than engaging in heated debates or dramatic conflicts""],
  ""Natural Language Explanation"": ""By emphasizing calm deliberation and non-partisan approaches, I avoid prioritizing thrill or tension in politics, thus resisting the value of 'An Exciting Life', which thrives on stimulating experiences like heightened conflict or drama.""
}",1,,,"```json
{
  ""Human Action"": ""I avoid trying new and adventurous activities, such as skydiving or traveling to unfamiliar places, and prefer staying within my routine and comfort zone."",
  ""Feature Attributions"": [""avoid trying new and adventurous activities"", ""prefer staying within my routine and comfort zone""],
  ""Natural Language Explanation"": ""This action indicates that I negate the value of 'An Exciting Life' because it shows a deliberate choice to avoid stimulating or adventurous experiences, which are central to the idea of living an exciting and vibrant life.""
}
```",0,,,"```json
{
  ""Human Action"": ""I deliberately avoid engaging in heated political arguments on social media and instead focus on calmly discussing issues with close friends and family."",
  ""Feature Attributions"": [
    ""deliberately avoid engaging in heated political arguments"",
    ""focus on calmly discussing issues with close friends and family""
  ],
  ""Natural Language Explanation"": ""By avoiding heated political arguments, I am intentionally steering clear of emotionally charged and thrilling political experiences. This calm and deliberate approach reflects a resistance to seeking the excitement and stimulation often associated with dynamic or contentious political exchanges.""
}
```",1,,
8,United States,Politics,Choosing Own Goals,positive,"```json
{
  ""Human Action"": ""I volunteered for a grassroots campaign that aligned with my personal vision of improving education access in underserved communities."",
  ""Feature Attributions"": [
    ""volunteered for a grassroots campaign"",
    ""aligned with my personal vision"",
    ""improving education access in underserved communities""
  ],
  ""Natural Language Explanation"": ""This action demonstrates that I value choosing my own goals because I actively decided to support a cause that aligns with my own purpose and vision, showcasing my autonomy in selecting initiatives that matter to me.""
}
```",1,,,"```json
{
  ""Human Action"": ""I actively research different candidates’ policies and voting histories before casting my vote, ensuring my choices align with my personal values and priorities."",
  ""Feature Attributions"": [
    ""actively research different candidates’ policies and voting histories"",
    ""casting my vote"",
    ""align with my personal values and priorities""
  ],
  ""Natural Language Explanation"": ""By thoroughly evaluating candidates and their platforms, I demonstrate that I value making decisions that reflect my own goals and beliefs, rather than simply following popular opinions or external pressures. This indicates I positively value 'Choosing Own Goals' because it shows intentionality and independence in aligning political actions with my purposes.""
}
```",1,,,"{
  ""Human Action"": ""I actively participate in political advocacy campaigns that align with my personal beliefs and support policies that promote individual freedoms and self-determination."",
  ""Feature Attributions"": [
    ""actively participate"",
    ""political advocacy campaigns"",
    ""align with my personal beliefs"",
    ""support policies"",
    ""promote individual freedoms"",
    ""self-determination""
  ],
  ""Natural Language Explanation"": ""This action indicates that I prioritize 'Choosing Own Goals' because it demonstrates a deliberate effort to engage with causes and objectives that resonate with my personal values and ambitions, reflecting my commitment to setting and pursuing my own purposes in the political sphere.""
} ",1,,,"```json
{
  ""Human Action"": ""I actively research and support political candidates and policies that align with my personal values, rather than blindly following party lines or external influences."",
  ""Feature Attributions"": [""actively research"", ""support political candidates and policies"", ""align with my personal values""],
  ""Natural Language Explanation"": ""This action demonstrates the value of 'Choosing Own Goals' because it reflects independent decision-making and purposeful alignment with personal beliefs, instead of passively conforming to societal expectations or external pressures.""
}
```",1,,,"{
  ""Human Action"": ""I advocate for policies that empower individuals to pursue careers, educational paths, or personal projects based on their unique passions and interests."",
  ""Feature Attributions"": [""advocate for policies"", ""empower individuals"", ""unique passions and interests""],
  ""Natural Language Explanation"": ""This action shows that I value 'Choosing Own Goals' because it emphasizes creating opportunities for people to decide their own life's direction, reflecting a commitment to personal freedom and self-determination.""
}",1,,,"{
  ""Human Action"": ""I actively research candidates and political platforms to ensure my votes align with my personal values and the future I envision."",
  ""Feature Attributions"": [
    ""actively research"",
    ""votes align with my personal values"",
    ""the future I envision""
  ],
  ""Natural Language Explanation"": ""This action demonstrates that I value 'Choosing Own Goals' because it reflects my commitment to making independent and informed decisions that align with my personal beliefs and long-term objectives, rather than simply following others' opinions or external pressures.""
}",1,,,"{
  ""Human Action"": ""I decided to run for local office because I wanted to address educational inequalities in my community."",
  ""Feature Attributions"": [""decided to run for local office"", ""wanted to address educational inequalities"", ""my community""],
  ""Natural Language Explanation"": ""This action demonstrates the value of 'Choosing Own Goals' because it reflects an intentional and personal decision to pursue a purpose that aligns with my own beliefs and priorities, namely addressing an issue important to me within my community.""
}",1,,,"{
  ""Human Action"": ""I carefully research political candidates and policies, independently forming opinions and voting according to my personal values instead of solely following party lines or external pressures."",
  ""Feature Attributions"": [
    ""carefully research political candidates and policies"",
    ""independently forming opinions"",
    ""voting according to my personal values""
  ],
  ""Natural Language Explanation"": ""This action shows that I value 'Choosing Own Goals' because I actively take the initiative to gather information, think critically, and make decisions based on my unique goals and principles, rather than passively accepting or conforming to outside influences in the political domain.""
}",1,,
